title,release_date,genre,imdb_rating,casts,movie_id
ad astra,2019,"Science Fiction,Drama",6.6,"Brad Pitt,Tommy Lee Jones,Ruth Negga",0
bloodshot,2020,"Action,Science Fiction",5.7,"Vin Diesel,Eiza González,Sam Heughan",1
bad boys for life,2020,"Thriller,Action,Crime",6.7,"Will Smith,Martin Lawrence,Vanessa Hudgens",2
ant man,2015,"Science Fiction,Action,Adventure",7.3,"Paul Rudd,Michael Douglas,Corey Stoll",3
percy jackson sea of monsters,2013,"Adventure,Family,Fantasy",5.8,"Logan Lerman,Alexandra Daddario,Brandon T. Jackson",4
birds of prey and the fantabulous emancipation of one harley quinn,2020,"Action,Crime,Comedy,Drama",6.1,"Margot Robbie,Rosie Perez,Mary Elizabeth Winstead",5
live free or die hard,2007,"Action,Thriller",7.1,"Bruce Willis,Justin Long,Timothy Olyphant",6
cold blood,2019,"Thriller,Action",4.6,"Jean Reno,Sarah Lind,Joe Anderson",7
underwater,2020,"Action,Horror,Science Fiction,Thriller",5.8,"Kristen Stewart,Vincent Cassel,Mamoudou Athie",8
the platform,2019,unknown,6.6,Nick Smith,9
jumanji the next level,2019,"Adventure,Comedy,Fantasy",6.7,"Dwayne Johnson,Jack Black,Kevin Hart",10
the twilight saga eclipse,2010,"Adventure,Fantasy,Drama,Romance",5.0,"Kristen Stewart,Robert Pattinson,Taylor Lautner",11
sonic the hedgehog,2020,"Action,Science Fiction,Comedy,Family",6.6,"Ben Schwartz,James Marsden,Jim Carrey",12
star wars the rise of skywalker,2019,"Action,Adventure,Science Fiction",6.7,"Daisy Ridley,John Boyega,Oscar Isaac",13
onward,2020,"Animation,Family,Adventure,Comedy,Fantasy",7.5,"Tom Holland,Chris Pratt,Julia Louis-Dreyfus",14
emma,2020,"Comedy,Drama,Romance",6.7,"Anya Taylor-Joy,Johnny Flynn,Mia Goth",15
pocahontas ii journey to a new world,1998,"Adventure,Animation,Romance,Family",4.9,"Irene Bedard,Donal Gibson,Jim Cummings",16
lara croft tomb raider the cradle of life,2003,"Action,Adventure,Fantasy,Thriller",5.6,"Angelina Jolie,Gerard Butler,Chris Barrie",17
the invisible man,2020,"Thriller,Science Fiction,Horror",7.1,"Elisabeth Moss,Oliver Jackson-Cohen,Harriet Dyer",18
blood father,2016,"Action,Thriller,Drama",6.4,"Mel Gibson,Erin Moriarty,Diego Luna",19
a rainy day in new york,2019,"Comedy,Romance",6.6,"Timothée Chalamet,Elle Fanning,Liev Schreiber",20
joker,2019,"Crime,Thriller,Drama",8.5,"Joaquin Phoenix,Robert De Niro,Zazie Beetz",21
miracle in cell no 7,2019,"Drama,Comedy",7.5,"Aga Muhlach,Bela Padilla,Xia Vigor",22
the hunt,2020,"Action,Thriller,Horror",6.4,"Betty Gilpin,Hilary Swank,Ike Barinholtz",23
transformers the last knight,2017,"Action,Science Fiction,Thriller,Adventure",5.2,"Mark Wahlberg,Anthony Hopkins,Josh Duhamel",24
parasite,2019,"Horror,Science Fiction",3.9,"Robert Glaudini,Demi Moore,Luca Bercovici",25
f#*@bois,2019,"Drama,Thriller",7.0,"Royce Cabrera,Kokoy de Santos,Ricky Davao",26
pretty little stalker,2018,"Thriller,Mystery,TV Movie",3.4,"Sierra McCormick,Nicky Whelan,Heather Morris",27
dolittle,2020,"Comedy,Fantasy,Adventure,Family",5.6,"Robert Downey Jr.,Antonio Banderas,Michael Sheen",28
frozen ii,2019,"Animation,Family,Adventure",6.9,"Kristen Bell,Idina Menzel,Josh Gad",29
harry potter and the deathly hallows part 2,2011,"Fantasy,Adventure",8.1,"Daniel Radcliffe,Emma Watson,Rupert Grint",30
cars,2006,"Animation,Adventure,Comedy,Family",7.1,"Owen Wilson,Bonnie Hunt,Paul Newman",31
teen titans the judas contract,2017,"Science Fiction,Animation,Action",7.0,"Stuart Allan,Jake T. Austin,Taissa Farmiga",32
digimon adventure last evolution kizuna,2020,"Animation,Action,Thriller,Adventure,Fantasy",7.3,"Ayaka Asai,Junya Enoki,Tom Fahn",33
contagion,2011,"Drama,Thriller,Science Fiction",6.7,"Matt Damon,Kate Winslet,Jude Law",34
30 days of night dark days,2010,"Horror,Thriller",4.4,"Kiele Sanchez,Rhys Coiro,Diora Baird",35
the traitor,2019,"Drama,Mystery",5.6,"Donald Wolfit,Robert Bray,Jane Griffiths",36
trolls world tour,2020,"Animation,Family,Comedy,Fantasy,Adventure,Music",6.1,"Anna Kendrick,Justin Timberlake,Rachel Bloom",37
harry potter and the philosopher s stone,2001,"Adventure,Fantasy,Family",7.6,"Daniel Radcliffe,Rupert Grint,Richard Harris",38
1917,2019,"War,Drama,Action,History",8.3,"Dean-Charles Chapman,George MacKay,Daniel Mays",39
harry potter and the deathly hallows part 1,2010,"Adventure,Fantasy",7.7,"Daniel Radcliffe,Emma Watson,Rupert Grint",40
the gentlemen,2019,"Action,Crime,Comedy",7.9,"Matthew McConaughey,Charlie Hunnam,Michelle Dockery",41
coffee kareem,2020,"Comedy,Action",5.1,"Ed Helms,Taraji P. Henson,Terrence Little Gardenhigh",42
aladdin,2019,"Adventure,Fantasy,Romance,Comedy,Family",7.0,"Will Smith,Mena Massoud,Naomi Scott",43
brahms the boy ii,2020,"Horror,Mystery,Thriller",4.6,"Katie Holmes,Christopher Convery,Owain Yeoman",44
the naked gun from the files of police squad,1988,"Comedy,Crime",7.6,"Leslie Nielsen,Priscilla Presley,O.J. Simpson",45
the lion king,2019,"Adventure,Family",6.9,"Donald Glover,Beyoncé,Seth Rogen",46
interstellar,2014,"Adventure,Drama,Science Fiction",8.6,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",47
john wick chapter 3 parabellum,2019,"Action,Thriller,Crime",7.5,"Keanu Reeves,Halle Berry,Ian McShane",48
knives out,2019,"Mystery,Thriller,Comedy,Drama,Crime",7.9,"Daniel Craig,Chris Evans,Ana de Armas",49
john wick,2014,"Action,Thriller",7.4,"Keanu Reeves,Michael Nyqvist,Alfie Allen",50
the call of the wild,2020,"Drama,Adventure,Family",6.8,"Harrison Ford,Omar Sy,Cara Gee",51
milea suara dari dilan,2020,"Drama,Romance",6.2,"Iqbaal Dhiafakhri Ramadhan,Vanesha Prescilla,Ira Wibowo",52
kamen rider reiwa the first generation,2019,"Action,Adventure,Science Fiction",6.8,"Tom Constantine,Yusuke Endou,Yurika Hashimoto",53
just mercy,2019,"Drama,Crime",7.6,"Michael B. Jordan,Jamie Foxx,Brie Larson",54
jurassic world fallen kingdom,2018,"Action,Adventure,Science Fiction",6.2,"Chris Pratt,Bryce Dallas Howard,Rafe Spall",55
tales from the darkside the movie,1990,"Thriller,Comedy,Fantasy,Horror",6.3,"Debbie Harry,Matthew Lawrence,Christian Slater",56
journey to china the mystery of iron mask,2019,"Adventure,Fantasy",4.6,"Jason Flemyng,Xingtong Yao,Anna Churina",57
escape from pretoria,2020,"Drama,History,Thriller",6.8,"Daniel Radcliffe,Ian Hart,Daniel Webber",58
atlantis the lost empire,2001,"Animation,Family,Adventure,Science Fiction",6.9,"Michael J. Fox,Jim Varney,Corey Burton",59
spider man far from home,2019,"Action,Adventure,Science Fiction",7.5,"Tom Holland,Samuel L. Jackson,Jake Gyllenhaal",60
fast furious presents hobbs shaw,2019,"Action,Adventure,Comedy",6.4,"Dwayne Johnson,Jason Statham,Idris Elba",61
avengers infinity war,2018,"Adventure,Action,Science Fiction",8.4,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",62
star wars,1977,"Adventure,Action,Science Fiction",8.6,"Mark Hamill,Harrison Ford,Carrie Fisher",63
geostorm,2017,"Action,Science Fiction,Thriller",5.3,"Gerard Butler,Jim Sturgess,Abbie Cornish",64
ford v ferrari,2019,"Drama,Action",8.1,"Matt Damon,Christian Bale,Jon Bernthal",65
little women,2019,"Drama,Romance",7.9,"Saoirse Ronan,Emma Watson,Florence Pugh",66
i still believe,2020,"Drama,Music",6.6,"K.J. Apa,Britt Robertson,Nathan Parsons",67
harry potter and the chamber of secrets,2002,"Adventure,Fantasy",7.4,"Daniel Radcliffe,Rupert Grint,Emma Watson",68
13 hours the secret soldiers of benghazi,2016,"Action,History,Thriller",7.3,"John Krasinski,Pablo Schreiber,James Badge Dale",69
dragon ball z fusion reborn,1995,"Action,Animation,Fantasy",7.7,"Masako Nozawa,Ryô Horikawa,Takeshi Kusao",70
freddy s dead the final nightmare,1991,"Horror,Thriller,Comedy",4.9,"Robert Englund,Lisa Zane,Shon Greenblatt",71
spenser confidential,2020,"Comedy,Action,Thriller",6.2,"Mark Wahlberg,Winston Duke,Alan Arkin",72
terminator dark fate,2019,"Action,Adventure,Science Fiction",6.3,"Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis",73
avengers endgame,2019,"Adventure,Science Fiction,Action",8.4,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",74
365 days,2020,Romance,5.3,"Anand,Raavi Kondala Rao,Satya Krishnan",75
cinderella iii a twist in time,2007,"Animation,Romance,Family,Fantasy",5.9,"Jennifer Hale,Christopher Daniel Barnes,Susanne Blakeslee",76
once upon a time in hollywood,2019,"Comedy,Drama,Thriller",7.7,"Leonardo DiCaprio,Brad Pitt,Margot Robbie",77
jojo rabbit,2019,"Comedy,War,Drama",7.9,"Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson",78
inception,2010,"Action,Science Fiction,Adventure",8.8,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",79
vivarium,2019,"Thriller,Science Fiction,Horror",5.8,"Imogen Poots,Danielle Ryan,Molly McCann",80
captain marvel,2019,"Action,Adventure,Science Fiction",6.9,"Brie Larson,Samuel L. Jackson,Ben Mendelsohn",81
