release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2019,462.659,2853,science-fiction drama,new-regency-productions keep-your-head madriver-pictures plan-b-entertainment rt-features bona-film-group tsg-entertainment,6.6,james-gray,brad-pitt tommy-lee-jones ruth-negga
2020,247.853,1349,action science-fiction,sony-pictures cross-creek-pictures mimran-schur-pictures original-film the-hideaway-entertainment valiant-entertainment columbia-pictures one-race bona-film-group,5.7,dave-wilson,vin-diesel eiza-gonzález sam-heughan
2020,235.696,2530,thriller action crime,columbia-pictures platinum-dunes 2.0-entertainment don-simpson/jerry-bruckheimer-films overbrook-entertainment,6.7,unknown,will-smith martin-lawrence vanessa-hudgens
2015,223.823,13611,science-fiction action adventure,marvel-studios,7.3,peyton-reed,paul-rudd michael-douglas corey-stoll
2013,207.361,3542,adventure family fantasy,fox-2000-pictures sunswept-entertainment 1492-pictures tsg-entertainment 20th-century-fox,5.8,thor-freudenthal,logan-lerman alexandra-daddario brandon-t.-jackson
2020,195.31,2639,action crime comedy drama,dc-entertainment luckychap-entertainment kroll-&-co-entertainment warner-bros.-pictures dc-comics dc-films clubhouse-pictures,6.1,cathy-yan,margot-robbie rosie-perez mary-elizabeth-winstead
2007,169.05,3714,action thriller,dune-entertainment cheyenne-enterprises wintergreen-productions 20th-century-fox ingenious-media,7.1,len-wiseman,bruce-willis justin-long timothy-olyphant
2019,162.842,119,thriller action,ascot-elite-entertainment-group eastwest-productions eight-35 goldcrest seven-52 wild-tribe-films ukrainian-state-film-agency,4.6,frédéric-petitjean,jean-reno sarah-lind joe-anderson
2020,154.759,584,action horror science-fiction thriller,chernin-entertainment 20th-century-fox tsg-entertainment,5.8,william-eubank,kristen-stewart vincent-cassel mamoudou-athie
2019,144.803,1924,unknown,everything-works,6.6,jeffrey-eugene-hoch,nick-smith
2019,144.135,2974,adventure comedy fantasy,columbia-pictures seven-bucks-productions hartbeat-productions matt-tolmach-productions teitler-film sony-pictures,6.7,jake-kasdan,dwayne-johnson jack-black kevin-hart
2010,143.316,5687,adventure fantasy drama romance,summit-entertainment temple-hill-entertainment imprint-entertainment maverick-films sunswept-entertainment,5.0,david-slade,kristen-stewart robert-pattinson taylor-lautner
2020,139.029,2066,action science-fiction comedy family,original-film blur-studios marza-animation-planet paramount sega dj2-entertainment paramount-animation digital-makeup-group stories-international,6.6,jeff-fowler,ben-schwartz james-marsden jim-carrey
2019,136.803,3800,action adventure science-fiction,lucasfilm-ltd. bad-robot walt-disney-pictures british-film-commission,6.7,j.j.-abrams,daisy-ridley john-boyega oscar-isaac
2020,131.453,956,animation family adventure comedy fantasy,walt-disney-pictures pixar,7.5,dan-scanlon,tom-holland chris-pratt julia-louis-dreyfus
2020,129.746,148,comedy drama romance,working-title-films focus-features perfect-world-pictures blueprint-pictures,6.7,autumn-de-wilde,anya-taylor-joy johnny-flynn mia-goth
1998,120.441,845,adventure animation romance family,disney-television-animation,4.9,unknown,irene-bedard donal-gibson jim-cummings
2003,115.841,2896,action adventure fantasy thriller,paramount mutual-film-company bbc lawrence-gordon-productions eidos-interactive toho-towa october-pictures,5.6,jan-de-bont,angelina-jolie gerard-butler chris-barrie
2020,114.177,1249,thriller science-fiction horror,blumhouse-productions universal-pictures goalpost-pictures nervous-tick screen-australia government-of-australia the-new-south-wales-government,7.1,leigh-whannell,elisabeth-moss oliver-jackson-cohen harriet-dyer
2016,112.879,946,action thriller drama,wild-bunch why-not-productions,6.4,jean-françois-richet,mel-gibson erin-moriarty diego-luna
2019,104.588,783,comedy romance,gravier-productions perdido-productions filmnation-entertainment,6.6,woody-allen,timothée-chalamet elle-fanning liev-schreiber
2019,96.259,10914,crime thriller drama,dc-entertainment warner-bros.-pictures dc-comics joint-effort village-roadshow-pictures bron-studios creative-wealth-media-finance dc-films 22-&-indiana-pictures,8.5,todd-phillips,joaquin-phoenix robert-de-niro zazie-beetz
2019,96.14,1639,drama comedy,viva-films,7.5,nuel-c.-naval,aga-muhlach bela-padilla xia-vigor
2020,93.133,376,action thriller horror,blumhouse-productions universal-pictures white-rabbit-productions,6.4,craig-zobel,betty-gilpin hilary-swank ike-barinholtz
2017,92.456,3761,action science-fiction thriller adventure,hasbro-studios paramount di-bonaventura-pictures ian-bryce-productions huahua-media tom-desanto-&-don-murphy-production,5.2,michael-bay,mark-wahlberg anthony-hopkins josh-duhamel
2019,92.215,6046,horror science-fiction,unknown,3.9,charles-band,robert-glaudini demi-moore luca-bercovici
2019,91.104,6,drama thriller,cinemalaya-foundation foundfilms front-row,7.0,eduardo-w.-roy-jr.,royce-cabrera kokoy-de-santos ricky-davao
2018,90.689,2,thriller mystery tv-movie,stargazer-films,3.4,sam-irvin,sierra-mccormick nicky-whelan heather-morris
2020,89.53200000000002,1093,comedy fantasy adventure family,universal-pictures team-downey perfect-world-pictures rk-films,5.6,stephen-gaghan,robert-downey-jr. antonio-banderas michael-sheen
2019,89.456,3626,animation family adventure,walt-disney-animation-studios walt-disney-pictures,6.9,unknown,kristen-bell idina-menzel josh-gad
2011,87.994,13267,fantasy adventure,warner-bros.-pictures heyday-films,8.1,david-yates,daniel-radcliffe emma-watson rupert-grint
2006,87.792,8997,animation adventure comedy family,pixar walt-disney-pictures,7.1,unknown,owen-wilson bonnie-hunt paul-newman
2017,85.285,301,science-fiction animation action,dc-entertainment dc-comics warner-bros.-animation,7.0,sam-liu,stuart-allan jake-t.-austin taissa-farmiga
2020,84.93299999999998,7,animation action thriller adventure fantasy,toei-animation yumeta-company,7.3,tomohisa-taguchi,ayaka-asai junya-enoki tom-fahn
2011,84.65,3163,drama thriller science-fiction,participant-media imagenation-abu-dhabi-fz double-feature-films regency-enterprises warner-bros.-pictures,6.7,steven-soderbergh,matt-damon kate-winslet jude-law
2010,82.27,264,horror thriller,ghost-house-pictures,4.4,ben-ketai,kiele-sanchez rhys-coiro diora-baird
2019,81.208,509,drama mystery,fantur-films e.j.-fancey-productions,5.6,unknown,donald-wolfit robert-bray jane-griffiths
2020,80.405,40,animation family comedy fantasy adventure music,dreamworks-animation universal-pictures,6.1,unknown,anna-kendrick justin-timberlake rachel-bloom
2001,80.242,16220,adventure fantasy family,warner-bros.-pictures heyday-films 1492-pictures,7.6,chris-columbus,daniel-radcliffe rupert-grint richard-harris
2019,79.404,4039,war drama action history,neal-street-productions dreamworks-pictures new-republic-pictures amblin-partners universal-pictures moving-picture-company reliance-entertainment mogambo the-canadian-film-or-video-production-tax-credit-(cptc),8.3,sam-mendes,dean-charles-chapman george-mackay daniel-mays
2010,79.342,12395,adventure fantasy,warner-bros.-pictures heyday-films,7.7,david-yates,daniel-radcliffe emma-watson rupert-grint
2019,77.403,723,action crime comedy,miramax stx-films toff-guy-films,7.9,guy-ritchie,matthew-mcconaughey charlie-hunnam michelle-dockery
2020,75.96600000000002,62,comedy action,pacific-electric-picture-company,5.1,michael-dowse,ed-helms taraji-p.-henson terrence-little-gardenhigh
2019,75.672,5357,adventure fantasy romance comedy family,walt-disney-pictures lin-pictures rideback marc-platt-productions,7.0,guy-ritchie,will-smith mena-massoud naomi-scott
2020,74.732,208,horror mystery thriller,stx-entertainment lakeshore-entertainment,4.6,william-brent-bell,katie-holmes christopher-convery owain-yeoman
1988,73.91199999999998,2084,comedy crime,paramount,7.6,david-zucker,leslie-nielsen priscilla-presley o.j.-simpson
2019,73.72800000000002,5171,adventure family,walt-disney-pictures fairview-entertainment,6.9,jon-favreau,donald-glover beyoncé seth-rogen
2014,73.456,21589,adventure drama science-fiction,legendary-entertainment syncopy lynda-obst-productions,8.6,christopher-nolan,matthew-mcconaughey anne-hathaway jessica-chastain
2019,73.015,4327,action thriller crime,summit-entertainment thunder-road 87eleven-productions lionsgate,7.5,chad-stahelski,keanu-reeves halle-berry ian-mcshane
2019,70.308,3325,mystery thriller comedy drama crime,lionsgate mrc t-street,7.9,rian-johnson,daniel-craig chris-evans ana-de-armas
